date;time;temperature;humidite;pyrano;v_vent;d_vent;precipitation;vpd;eto_index
2018-01-06;00:00:00;12.7779;91.77386;0;0.07934691;0.3241016;0;0.15;99999.9
2018-01-06;00:15:00;12.86946;90.46159;0;0.2166781;0.3295949;0;0.15;99999.9
2018-01-06;00:30:00;12.80537;89.20882;0;0.5188068;0.3625544;0;0.15;99999.9
2018-01-06;00:45:00;12.92439;88.52065;0;0.2136263;0.3405814;0;0.15;99999.9
2018-01-06;01:00:00;12.88472;88.87923;0;0.07934691;0.3241016;0;0.15;0
2018-01-06;01:15:00;12.91829;88.50081;0;0.07934691;0.3295949;0;0.16;99999.9
2018-01-06;01:30:00;12.59937;88.49013;0;0.07934691;0.3295949;0;0.16;99999.9
2018-01-06;01:45:00;12.16297;89.68032;0;0.07629511;0.3350881;0;0.16;99999.9
2018-01-06;02:00:00;12.8542;87.25109;526.07;0.2136263;0.3680476;0;0.16;0
2018-01-06;02:15:00;13.22957;84.76234;0;0.2288853;0.3350881;0;0.25;99999.9
2018-01-06;02:30:00;13.54848;82.72831;5.706874;0.3631647;0.4284733;0;0.25;99999.9
2018-01-06;02:45:00;14.13138;79.60326;0;2.618448;0.3680476;0.4;0.25;99999.9
2018-01-06;03:00:00;13.4371;87.23583;0;0.7141222;0.6262303;1.8;0.25;0.1
2018-01-06;03:15:00;13.22194;89.69711;0;2.917525;0.5603113;2.6;0.14;99999.9
2018-01-06;03:30:00;12.86793;92.82826;0;4.629587;0.6152438;1;0.14;99999.9
2018-01-06;03:45:00;12.9427;93.27229;0;7.873655;0.686656;0;0.14;99999.9
2018-01-06;04:00:00;12.79774;94.40452;0;6.662089;0.4943923;0.2;0.14;0
2018-01-06;04:15:00;12.93049;93.32875;0;5.346761;0.7031357;0;0.08;99999.9
2018-01-06;04:30:00;13.01442;93.9437;0;5.102617;0.664683;0;0.08;99999.9
2018-01-06;04:45:00;13.07088;94.73717;0;3.881895;0.576791;0;0.08;99999.9
2018-01-06;05:00:00;13.15633;95.29411;0;3.338674;0.576791;0;0.08;0
2018-01-06;05:15:00;13.24635;95.95636;0;3.707942;0.6536965;0.4;0.08;99999.9
2018-01-06;05:30:00;13.74533;94.13596;0;9.326314;0.5273518;0;0.08;99999.9
2018-01-06;05:45:00;13.58663;94.21378;0;5.645838;0.5108721;0;0.08;99999.9
2018-01-06;06:00:00;13.22652;94.83635;0;0.07934691;0.3350881;0;0.08;0
2018-01-06;06:15:00;13.06477;95.17662;0;0.1861601;0.3350881;0;0.09;99999.9
2018-01-06;06:30:00;13.04951;93.88419;0;0.07934691;0.3295949;0;0.09;99999.9
2018-01-06;06:45:00;13.27229;90.77439;0;1.968414;0.554818;0;0.09;99999.9
2018-01-06;07:00:00;12.73823;83.25932;0;3.344778;0.3845274;0.4;0.09;0
2018-01-06;07:15:00;12.48798;86.69261;0;1.461814;0.3515679;0.2;0.18;99999.9
2018-01-06;07:30:00;12.60242;89.48348;0;1.882963;0.5493248;0.2;0.18;99999.9
2018-01-06;07:45:00;12.62531;90.54856;1824.796;0.8880751;0.4119936;0;0.18;99999.9
2018-01-06;08:00:00;12.67414;91.17876;2000;0.07934691;0.3680476;0;0.18;0.28
2018-01-06;08:15:00;12.53376;93.29823;2000;0.07629511;0.3790341;0;0.84;99999.9
2018-01-06;08:30:00;12.48035;94.23667;2000;0.07324331;0.3735408;0;0.84;99999.9
2018-01-06;08:45:00;12.83436;93.93759;2000;0.1983673;0.3790341;0;0.84;99999.9
2018-01-06;09:00:00;13.07393;94.34196;2000;0.6561379;0.3845274;0;0.1;1.23
2018-01-06;09:15:00;13.42031;93.69345;2000;2.206455;0.6976425;0.2;0.13;99999.9
2018-01-06;09:30:00;13.51797;89.37514;2000;2.28275;0.7141222;0;0.13;99999.9
2018-01-06;09:45:00;12.65125;87.46319;2000;5.285725;0.7635615;2.6;0.13;99999.9
2018-01-06;10:00:00;12.05616;93.49814;2000;0.8880751;0.3790341;0.8;0.13;1.14
2018-01-06;10:15:00;12.5246;91.77539;2000;1.248188;0.4504463;0;0.15;99999.9
2018-01-06;10:30:00;13.08919;90.24948;2000;1.937896;0.4834058;0;0.15;99999.9
2018-01-06;10:45:00;13.84909;86.01968;2000;2.645914;0.7525749;0;0.15;99999.9
2018-01-06;11:00:00;13.28451;80.62714;2000;2.844282;0.4394598;0;0.15;1.17
2018-01-06;11:15:00;13.48898;83.0869;2000;0.2410926;0.3845274;0;0.28;99999.9
2018-01-06;11:30:00;14.12222;82.5452;2000;2.471961;0.4504463;0;0.28;99999.9
2018-01-06;11:45:00;13.68887;82.43534;2000;5.862516;0.7525749;2.2;0.28;99999.9
2018-01-06;12:00:00;13.18532;77.8439;2000;12.28351;0.7580683;0;0.28;1.15
2018-01-06;12:15:00;13.64614;74.95079;2000;8.239872;0.708629;0;0.43;99999.9
2018-01-06;12:30:00;14.09781;72.55512;2000;6.594949;0.5383383;0;0.43;99999.9
2018-01-06;12:45:00;14.95384;68.11017;1997.437;3.573663;281.5015;0;0.43;99999.9
2018-01-06;13:00:00;15.02556;64.63416;2000;6.784162;337.6535;0;0.43;1.03
2018-01-06;13:15:00;14.85008;65.16824;2000;7.257191;318.2953;0;0.56;99999.9
2018-01-06;13:30:00;14.77989;67.78973;1986.786;3.851377;281.5235;0;0.56;99999.9
2018-01-06;13:45:00;14.80735;70.00381;2000;4.461738;336.3076;0;0.56;99999.9
2018-01-06;14:00:00;15.2224;66.82384;2000;4.776074;292.0485;0;0.56;1.11
